Tag, Feiertage
2023-01-01, Neujahr
2023-04-07, Karfreitag
2023-04-10, Ostermontag
2023-05-01, Maifeiertag
2023-05-18, Christi Himmelfahrt
2023-05-29, Pfingstmontag
2023-10-03, Tag der Deutschen Einheit
2023-10-31, Reformationstag
2023-12-25, 1. Weihnachtstag
2023-12-26, 2. Weihnachtstag
2024-01-01, Neujahr
2024-03-29, Karfreitag
2024-04-01, Ostermontag
2024-05-01, Maifeiertag
2024-05-09, Christi Himmelfahrt
2024-05-20, Pfingstmontag
2024-10-03, Tag der Deutschen Einheit
2024-10-31, Reformationstag
2024-12-25, 1. Weihnachtstag
2024-12-26, 2. Weihnachtstag
2025-01-01, Neujahr
2025-04-18, Karfreitag
2025-04-21, Ostermontag
2025-05-01, Maifeiertag
2025-05-29, Christi Himmelfahrt
2025-06-09, Pfingstmontag
2025-10-03, Tag der Deutschen Einheit
2025-10-31, Reformationstag
2025-12-25, 1. Weihnachtstag
2025-12-26, 2. Weihnachtstag